Euan Abercrombie
Katie Bell
Lavender Brown
Ritchie Coote
Colin Creevey
Dennis Creevey
Seamus Finnigan
Hermione Granger
Angelina Johnson
Lee Jordan
Andrew Kirke
Neville Longbottom
Natalie McDonald
Mary Macdonald
Cormac McLaggen
Parvati Patil
Jimmy Peakes
Harry Potter
Demelza Robins
Jack Sloper
Alicia Spinnet
Dean Thomas
Romilda Vane
Fred Weasley
George Weasley
Ginny Weasley
Percy Weasley
Ron Weasley
Oliver Wood
Sirius Black
Albus Dumbledore
Rubeus Hagrid
Remus Lupin
Minerva McGonagall
Peter Pettigrew
James Potter
Lily Potter
Bill Weasley
Charlie Weasley
Arthur Weasley
Molly Weasley
Godrick Gryffindor
