<http://zbw.eu/stw/descriptor/10807-4>	International financial market
<http://zbw.eu/stw/descriptor/10811-6>	Capital mobility
<http://zbw.eu/stw/descriptor/18668-1>	Derivative
<http://zbw.eu/stw/descriptor/11664-2>	Financial transactions tax
<http://zbw.eu/stw/descriptor/19333-6>	Tobin tax
<http://zbw.eu/stw/descriptor/11039-4>	Efficiency
<http://zbw.eu/stw/descriptor/13713-5>	Stock market
<http://zbw.eu/stw/descriptor/10060-4>	Transaction costs
<http://zbw.eu/stw/descriptor/11696-3>	Tax effects
<http://zbw.eu/stw/descriptor/19044-6>	Comparison
<http://zbw.eu/stw/descriptor/16809-5>	World
