<http://zbw.eu/stw/descriptor/10338-6>	Business cycle
<http://zbw.eu/stw/descriptor/19259-6>	Monetary transmission
<http://zbw.eu/stw/descriptor/10265-0>	National income
<http://zbw.eu/stw/descriptor/19231-0>	Gross domestic product
<http://zbw.eu/stw/descriptor/10605-2>	International economy
<http://zbw.eu/stw/descriptor/10614-1>	International division of labour
<http://zbw.eu/stw/descriptor/10043-4>	Small open economy
<http://zbw.eu/stw/descriptor/17806-6>	North America
<http://zbw.eu/stw/descriptor/17829-1>	United States
<http://zbw.eu/stw/descriptor/17811-6>	Canada
<http://zbw.eu/stw/descriptor/17790-2>	Mexico
