<http://zbw.eu/stw/descriptor/10414-2>	Economic growth
<http://zbw.eu/stw/descriptor/10436-6>	Research
<http://zbw.eu/stw/descriptor/19641-2>	Population economics
<http://zbw.eu/stw/descriptor/19638-5>	Aging population
<http://zbw.eu/stw/descriptor/10460-2>	Productivity
<http://zbw.eu/stw/descriptor/11367-1>	Educational System
<http://zbw.eu/stw/descriptor/11224-2>	Human capital
<http://zbw.eu/stw/descriptor/15706-6>	Economic history
<http://zbw.eu/stw/descriptor/19244-5>	Endogenous growth model
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/10499-3>	Industrialized countries
