<http://zbw.eu/stw/descriptor/10770-1>	Foreign exchange reserves
<http://zbw.eu/stw/descriptor/13690-5>	Financial system
<http://zbw.eu/stw/descriptor/13746-4>	Bank liquidity
<http://zbw.eu/stw/descriptor/13784-3>	Deposit banking
<http://zbw.eu/stw/descriptor/13776-2>	Bank lending
<http://zbw.eu/stw/descriptor/10774-0>	Central bank
<http://zbw.eu/stw/descriptor/19037-3>	Estimation
<http://zbw.eu/stw/descriptor/17571-0>	East Asia
<http://zbw.eu/stw/descriptor/17590-3>	Thailand
<http://zbw.eu/stw/descriptor/17570-2>	South Korea
<http://zbw.eu/stw/descriptor/17584-5>	Malaysia
<http://zbw.eu/stw/descriptor/17586-1>	Philippines
<http://zbw.eu/stw/descriptor/17578-0>	Indonesia
