<http://zbw.eu/stw/descriptor/11613-5>	Public debt
<http://zbw.eu/stw/descriptor/19379-3>	Sovereign default
<http://zbw.eu/stw/descriptor/19664-4>	Financial crisis
<http://zbw.eu/stw/descriptor/10987-4>	Economic policy
<http://zbw.eu/stw/descriptor/11728-2>	Fiscal policy
<http://zbw.eu/stw/descriptor/10976-2>	Ordnungspolitik
<http://zbw.eu/stw/descriptor/13723-2>	Financial market
<http://zbw.eu/stw/descriptor/10894-4>	Regulation
<http://zbw.eu/stw/descriptor/10382-3>	Monetary policy
<http://zbw.eu/stw/descriptor/10981-2>	Structural policy
<http://zbw.eu/stw/descriptor/19336-0>	Euro area
<http://zbw.eu/stw/descriptor/19336-0>	Euro area
