<http://zbw.eu/stw/descriptor/19481-5>	Climate protection
<http://zbw.eu/stw/descriptor/15468-3>	Decision under uncertainty
<http://zbw.eu/stw/descriptor/19274-3>	Risk premium
<http://zbw.eu/stw/descriptor/11527-5>	Social discount rate
<http://zbw.eu/stw/descriptor/19267-0>	Yield curve
<http://zbw.eu/stw/descriptor/10414-2>	Economic growth
<http://zbw.eu/stw/descriptor/18679-3>	Volatility
<http://zbw.eu/stw/descriptor/19537-4>	Beta risk
<http://zbw.eu/stw/descriptor/19524-6>	Shock
<http://zbw.eu/stw/descriptor/10343-6>	Economic crisis
<http://zbw.eu/stw/descriptor/19073-6>	Theory
