<http://zbw.eu/stw/descriptor/15952-5>	Immigration
<http://zbw.eu/stw/descriptor/26480-2>	Mexicans
<http://zbw.eu/stw/descriptor/15945-2>	Gender
<http://zbw.eu/stw/descriptor/15920-4>	Women
<http://zbw.eu/stw/descriptor/19112-1>	Occupational qualification
<http://zbw.eu/stw/descriptor/15878-5>	Political border
<http://zbw.eu/stw/descriptor/19640-4>	Illegal immigration
<http://zbw.eu/stw/descriptor/19650-1>	Migration research
<http://zbw.eu/stw/descriptor/10011-3>	Costs
<http://zbw.eu/stw/descriptor/16486-3>	Immigration policy
<http://zbw.eu/stw/descriptor/17829-1>	United States
