<http://zbw.eu/stw/descriptor/11207-2>	Regional labour market
<http://zbw.eu/stw/descriptor/19438-6>	Spatial distribution
<http://zbw.eu/stw/descriptor/11207-2>	Regional labour market
<http://zbw.eu/stw/descriptor/20321-3>	New economic geography
<http://zbw.eu/stw/descriptor/18173-0>	Efficiency wages
<http://zbw.eu/stw/descriptor/19364-2>	Centre-periphery relations
<http://zbw.eu/stw/descriptor/29757-5>	Wage curve
<http://zbw.eu/stw/descriptor/19492-0>	Regional labour mobility
<http://zbw.eu/stw/descriptor/11919-2>	Agglomeration effect
<http://zbw.eu/stw/descriptor/19195-6>	Bottleneck
<http://zbw.eu/stw/descriptor/19073-6>	Theory
