<http://zbw.eu/stw/descriptor/10300-3>	Consumer behaviour
<http://zbw.eu/stw/descriptor/10140-6>	Information costs
<http://zbw.eu/stw/descriptor/10213-5>	Price
<http://zbw.eu/stw/descriptor/15463-6>	Bargaining theory
<http://zbw.eu/stw/descriptor/10209-3>	Oligopoly
<http://zbw.eu/stw/descriptor/10904-6>	Market power
<http://zbw.eu/stw/descriptor/10112-4>	Welfare analysis
<http://zbw.eu/stw/descriptor/10180-1>	Consumer surplus
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/13775-4>	Mortgage
<http://zbw.eu/stw/descriptor/11433-0>	Credit market
<http://zbw.eu/stw/descriptor/17811-6>	Canada
