<http://zbw.eu/stw/descriptor/19112-1>	Occupational qualification
<http://zbw.eu/stw/descriptor/15952-5>	Immigration
<http://zbw.eu/stw/descriptor/10169-3>	Labour supply
<http://zbw.eu/stw/descriptor/19524-6>	Shock
<http://zbw.eu/stw/descriptor/12072-1>	Enterprise
<http://zbw.eu/stw/descriptor/19027-6>	Adjustment
<http://zbw.eu/stw/descriptor/10186-3>	Factor price
<http://zbw.eu/stw/descriptor/10313-1>	Factor intensity
<http://zbw.eu/stw/descriptor/19244-5>	Endogenous growth model
<http://zbw.eu/stw/descriptor/12070-5>	Business start-up
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/18012-3>	Germany
