<http://zbw.eu/stw/descriptor/11182-6>	Unemployment
<http://zbw.eu/stw/descriptor/10605-2>	International economy
<http://zbw.eu/stw/descriptor/19493-5>	Labour market flexibility
<http://zbw.eu/stw/descriptor/11335-0>	Wage rigidity
<http://zbw.eu/stw/descriptor/11931-5>	Spillover effect
<http://zbw.eu/stw/descriptor/10617-2>	International economic relations
<http://zbw.eu/stw/descriptor/11219-2>	Labour market theory
<http://zbw.eu/stw/descriptor/18140-1>	Job search
<http://zbw.eu/stw/descriptor/28089-4>	Matching
<http://zbw.eu/stw/descriptor/19073-6>	Theory
<http://zbw.eu/stw/descriptor/17993-2>	OECD countries
