<http://zbw.eu/stw/descriptor/10410-3>	External balance
<http://zbw.eu/stw/descriptor/17829-1>	United States
<http://zbw.eu/stw/descriptor/17553-2>	Asia
<http://zbw.eu/stw/descriptor/10770-1>	Foreign exchange reserves
<http://zbw.eu/stw/descriptor/10735-3>	Fixed exchange rate
<http://zbw.eu/stw/descriptor/10763-5>	US dollar
<http://zbw.eu/stw/descriptor/29675-0>	Renminbi
<http://zbw.eu/stw/descriptor/10991-6>	Impact assessment
<http://zbw.eu/stw/descriptor/17565-2>	China
<http://zbw.eu/stw/descriptor/10414-2>	Economic growth
<http://zbw.eu/stw/descriptor/17553-2>	Asia
