<http://www.yso.fi/onto/yso/p6621>	online teaching
<http://www.yso.fi/onto/yso/p2630>	teaching and instruction
<http://www.yso.fi/onto/yso/p6621>	online teaching
<http://www.yso.fi/onto/yso/p13627>	online learning
<http://www.yso.fi/onto/yso/p6622>	online courses
<http://www.yso.fi/onto/yso/p988>	educational methods
<http://www.yso.fi/onto/yso/p4230>	development (active)
<http://www.yso.fi/onto/yso/p18442>	online pedagogy
<http://www.yso.fi/onto/yso/p20405>	Internet
<http://www.yso.fi/onto/yso/p5260>	educational use
<http://www.yso.fi/onto/yso/p17867>	computer-assisted teaching
<http://www.yso.fi/onto/yso/p4418>	teaching technology
<http://www.yso.fi/onto/yso/p182>	action research
<http://www.yso.fi/onto/yso/p3390>	tertiary education
<http://www.yso.fi/onto/yso/p10895>	universities
