<http://www.yso.fi/onto/yso/p16518>	intercultural communication
<http://www.yso.fi/onto/yso/p2797>	couple relationship
<http://www.yso.fi/onto/yso/p24150>	multicultural marriage
<http://www.yso.fi/onto/yso/p2975>	cross-cultural research
<http://www.yso.fi/onto/yso/p10645>	interculturalism
<http://www.yso.fi/onto/yso/p2190>	cultural differences
<http://www.yso.fi/onto/yso/p7946>	conflicts (societal events)
<http://www.yso.fi/onto/yso/p3392>	problems
<http://www.yso.fi/onto/yso/p2187>	contradictions
<http://www.yso.fi/onto/yso/p6129>	negotiations
<http://www.yso.fi/onto/yso/p2551>	power (societal objects)
<http://www.yso.fi/onto/yso/p1722>	uncertainty
<http://www.yso.fi/onto/yso/p10648>	cultural identity
