<http://www.yso.fi/onto/yso/p1182>	entrepreneurship
<http://www.yso.fi/onto/yso/p20094>	family businesses
<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p1178>	entrepreneurs
<http://www.yso.fi/onto/yso/p9743>	identity (mental objects)
<http://www.yso.fi/onto/yso/p1044>	values (cultural objects)
<http://www.yso.fi/onto/yso/p11261>	corporate culture
<http://www.yso.fi/onto/yso/p2975>	cross-cultural research
<http://www.yso.fi/onto/yso/p94426>	Finland
<http://www.yso.fi/onto/yso/p105078>	United States of America
<http://www.yso.fi/onto/yso/p107655>	Louisiana
