<http://www.yso.fi/onto/yso/p1066>	literary research
<http://www.yso.fi/onto/yso/p8113>	literature
<http://www.yso.fi/onto/yso/p9797>	African American literature
<http://www.yso.fi/onto/yso/p17229>	drama (literature)
<http://www.yso.fi/onto/yso/p5000>	plays
<http://www.yso.fi/onto/yso/p14560>	dialogue
<http://www.yso.fi/onto/yso/p9649>	readers (role)
<http://www.yso.fi/onto/yso/p12789>	African Americans
<http://www.yso.fi/onto/yso/p611>	racial discrimination
<http://www.yso.fi/onto/yso/p608>	racism
<http://www.yso.fi/onto/yso/p216>	ideologies
<http://www.yso.fi/onto/yso/p2187>	contradictions
<http://www.yso.fi/onto/yso/p7946>	conflicts (societal events)
<http://www.yso.fi/onto/yso/p2551>	power (societal objects)
<http://www.yso.fi/onto/yso/p105078>	United States of America
