<http://www.yso.fi/onto/yso/p2438>	business life
<http://www.yso.fi/onto/yso/p26023>	agents (actors)
<http://www.yso.fi/onto/yso/p4029>	commerce
<http://www.yso.fi/onto/yso/p485>	handcrafting
<http://www.yso.fi/onto/yso/p998>	industry
<http://www.yso.fi/onto/yso/p1657>	influencing
<http://www.yso.fi/onto/yso/p8743>	decision making
<http://www.yso.fi/onto/yso/p8676>	central administration
<http://www.yso.fi/onto/yso/p3253>	pleas
<http://www.yso.fi/onto/yso/p153>	appeals
<http://www.yso.fi/onto/yso/p5047>	committees (general)
<http://www.yso.fi/onto/yso/p3244>	era of autonomy
<http://www.yso.fi/onto/yso/p17789>	economic history
<http://www.yso.fi/onto/yso/p94426>	Finland
