<http://www.yso.fi/onto/yso/p13777>	countryside
<http://www.yso.fi/onto/yso/p6821>	farms
<http://www.yso.fi/onto/yso/p4658>	farmers
<http://www.yso.fi/onto/yso/p4230>	development (active)
<http://www.yso.fi/onto/yso/p1764>	means of livelihood
<http://www.yso.fi/onto/yso/p1862>	rural livelihoods
<http://www.yso.fi/onto/yso/p2384>	energy production (process industry)
<http://www.yso.fi/onto/yso/p6167>	bioenergy
<http://www.yso.fi/onto/yso/p3895>	biofuels
<http://www.yso.fi/onto/yso/p21076>	ecological modernisation
<http://www.yso.fi/onto/yso/p25274>	bioeconomy
<http://www.yso.fi/onto/yso/p8470>	sustainable development
<http://www.yso.fi/onto/yso/p94426>	Finland
