<http://www.yso.fi/onto/yso/p13035>	physical hobbies
<http://www.yso.fi/onto/yso/p24012>	immobility
<http://www.yso.fi/onto/yso/p8760>	lifestyle
<http://www.yso.fi/onto/yso/p7384>	physical fitness
<http://www.yso.fi/onto/yso/p26989>	body composition
<http://www.yso.fi/onto/yso/p25528>	fat percentage
<http://www.yso.fi/onto/yso/p21484>	weight gain
<http://www.yso.fi/onto/yso/p25831>	gene expression
<http://www.yso.fi/onto/yso/p6239>	metabolic disorders
<http://www.yso.fi/onto/yso/p19552>	pre-emption
<http://www.yso.fi/onto/yso/p9845>	twins
