<http://www.yso.fi/onto/yso/p36>	communication
<http://www.yso.fi/onto/yso/p2975>	cross-cultural research
<http://www.yso.fi/onto/yso/p10647>	multiculturalism
<http://www.yso.fi/onto/yso/p10645>	interculturalism
<http://www.yso.fi/onto/yso/p8343>	know-how
<http://www.yso.fi/onto/yso/p8342>	cultural competence
<http://www.yso.fi/onto/yso/p13401>	international education
<http://www.yso.fi/onto/yso/p13463>	workplaces
<http://www.yso.fi/onto/yso/p16042>	nursing staff
<http://www.yso.fi/onto/yso/p2366>	health care personnel
<http://www.yso.fi/onto/yso/p17252>	municipal department of social services
<http://www.yso.fi/onto/yso/p5168>	ethnocentrism
<http://www.yso.fi/onto/yso/p10648>	cultural identity
<http://www.yso.fi/onto/yso/p105111>	Italy
