<http://www.yso.fi/onto/yso/p1810>	work
<http://www.yso.fi/onto/yso/p13463>	workplaces
<http://www.yso.fi/onto/yso/p1722>	uncertainty
<http://www.yso.fi/onto/yso/p1835>	well-being at work
<http://www.yso.fi/onto/yso/p1946>	mental well-being
<http://www.yso.fi/onto/yso/p22036>	well-being
<http://www.yso.fi/onto/yso/p1947>	prosperity
<http://www.yso.fi/onto/yso/p11867>	coping
<http://www.yso.fi/onto/yso/p22003>	supervisor-employee relationship
<http://www.yso.fi/onto/yso/p297>	job control
<http://www.yso.fi/onto/yso/p8997>	social support
