<http://www.yso.fi/onto/yso/p4806>	youth culture
<http://www.yso.fi/onto/yso/p14028>	ethnography
<http://www.yso.fi/onto/yso/p103>	radio programmes
<http://www.yso.fi/onto/yso/p2445>	media
<http://www.yso.fi/onto/yso/p1356>	colloquial language
<http://www.yso.fi/onto/yso/p3867>	globalisation
<http://www.yso.fi/onto/yso/p2573>	English language
<http://www.yso.fi/onto/yso/p6720>	multilingualism
<http://www.yso.fi/onto/yso/p11300>	code switching (use of language)
<http://www.yso.fi/onto/yso/p25798>	intercultural interaction
<http://www.yso.fi/onto/yso/p11302>	use of language
<http://www.yso.fi/onto/yso/p94426>	Finland
<http://www.yso.fi/onto/yso/p94383>	Sweden
