<http://www.yso.fi/onto/yso/p1353>	sociolinguistics
<http://www.yso.fi/onto/yso/p2573>	English language
<http://www.yso.fi/onto/yso/p12769>	international communication
<http://www.yso.fi/onto/yso/p24888>	work community skills
<http://www.yso.fi/onto/yso/p4193>	labour market relationships
<http://www.yso.fi/onto/yso/p16262>	working life
<http://www.yso.fi/onto/yso/p7829>	discourse analysis
<http://www.yso.fi/onto/yso/p9173>	modality (linguistics)
<http://www.yso.fi/onto/yso/p36>	communication
<http://www.yso.fi/onto/yso/p3867>	globalisation
<http://www.yso.fi/onto/yso/p9743>	identity (mental objects)
<http://www.yso.fi/onto/yso/p12894>	professional identity
<http://www.yso.fi/onto/yso/p21512>	linguistic identity
<http://www.yso.fi/onto/yso/p14028>	ethnography
<http://www.yso.fi/onto/yso/p6444>	social skills
