<http://www.yso.fi/onto/yso/p9720>	Forest Act
<http://www.yso.fi/onto/yso/p19196>	commercial forests
<http://www.yso.fi/onto/yso/p8845>	clearcuttings
<http://www.yso.fi/onto/yso/p14618>	selection cutting
<http://www.yso.fi/onto/yso/p24914>	selection system (forest cultivation)
<http://www.yso.fi/onto/yso/p24880>	sustainable forest management
<http://www.yso.fi/onto/yso/p5497>	natural diversity
<http://www.yso.fi/onto/yso/p13603>	safety zones
<http://www.yso.fi/onto/yso/p5454>	forests
<http://www.yso.fi/onto/yso/p2522>	mapping
<http://www.yso.fi/onto/yso/p12524>	brooks
<http://www.yso.fi/onto/yso/p17211>	decayed wood
<http://www.yso.fi/onto/yso/p12566>	bryophytes
<http://www.yso.fi/onto/yso/p5704>	Polyporaceae
