<http://www.yso.fi/onto/yso/p6230>	locationing
<http://www.yso.fi/onto/yso/p19374>	satellite navigation
<http://www.yso.fi/onto/yso/p6118>	supervision
<http://www.yso.fi/onto/yso/p3628>	monitoring
<http://www.yso.fi/onto/yso/p6926>	telemonitoring
<http://www.yso.fi/onto/yso/p3398>	police (organisations)
<http://www.yso.fi/onto/yso/p19910>	crime prevention
<http://www.yso.fi/onto/yso/p6565>	criminal procedure
<http://www.yso.fi/onto/yso/p10742>	preliminary investigation
<http://www.yso.fi/onto/yso/p5951>	evidences
<http://www.yso.fi/onto/yso/p18323>	control of legality
<http://www.yso.fi/onto/yso/p12622>	transparency
<http://www.yso.fi/onto/yso/p3927>	data systems
<http://www.yso.fi/onto/yso/p13479>	system theory
<http://www.yso.fi/onto/yso/p10655>	systems work
