<http://www.yso.fi/onto/yso/p11571>	unemployment
<http://www.yso.fi/onto/yso/p3542>	access to employment
<http://www.yso.fi/onto/yso/p9860>	job application
<http://www.yso.fi/onto/yso/p8831>	labour market
<http://www.yso.fi/onto/yso/p13463>	workplaces
<http://www.yso.fi/onto/yso/p20405>	Internet
<http://www.yso.fi/onto/yso/p2339>	technology (information)
<http://www.yso.fi/onto/yso/p20743>	information and communications technology
<http://www.yso.fi/onto/yso/p4412>	unemployment security
<http://www.yso.fi/onto/yso/p10012>	sanctions
<http://www.yso.fi/onto/yso/p10580>	employers
<http://www.yso.fi/onto/yso/p9607>	jobseekers
<http://www.yso.fi/onto/yso/p478>	recruitment of employees
<http://www.yso.fi/onto/yso/p479>	hiring
<http://www.yso.fi/onto/yso/p13480>	econometrics
<http://www.yso.fi/onto/yso/p94426>	Finland
