<http://www.yso.fi/onto/yso/p2851>	art
<http://www.yso.fi/onto/yso/p9593>	contemporary art
<http://www.yso.fi/onto/yso/p20653>	art forms
<http://www.yso.fi/onto/yso/p7017>	artists
<http://www.yso.fi/onto/yso/p11231>	community art
<http://www.yso.fi/onto/yso/p19661>	social sciences
<http://www.yso.fi/onto/yso/p3286>	social work
<http://www.yso.fi/onto/yso/p5457>	art education
<http://www.yso.fi/onto/yso/p5522>	communality
<http://www.yso.fi/onto/yso/p10728>	social inclusion
<http://www.yso.fi/onto/yso/p10727>	participation
<http://www.yso.fi/onto/yso/p7483>	cooperativity
<http://www.yso.fi/onto/yso/p6334>	cooperation (general)
