<http://www.yso.fi/onto/yso/p514>	voles
<http://www.yso.fi/onto/yso/p513>	Clethrionomys glareolus
<http://www.yso.fi/onto/yso/p5038>	populations
<http://www.yso.fi/onto/yso/p20115>	population ecology
<http://www.yso.fi/onto/yso/p3061>	wintering
<http://www.yso.fi/onto/yso/p2317>	physiology
<http://www.yso.fi/onto/yso/p11511>	physiological effects
<http://www.yso.fi/onto/yso/p10522>	reproductive behaviour
<http://www.yso.fi/onto/yso/p5729>	climate changes
<http://www.yso.fi/onto/yso/p20949>	climatic effects
<http://www.yso.fi/onto/yso/p16692>	boreal zone
<http://www.yso.fi/onto/yso/p18848>	snow cover
