<http://www.yso.fi/onto/yso/p1056>	philosophy
<http://www.yso.fi/onto/yso/p3485>	emotions
<http://www.yso.fi/onto/yso/p4006>	bodiliness
<http://www.yso.fi/onto/yso/p9743>	identity (mental objects)
<http://www.yso.fi/onto/yso/p13031>	oneness
<http://www.yso.fi/onto/yso/p16955>	diversification
<http://www.yso.fi/onto/yso/p2856>	boundaries
<http://www.yso.fi/onto/yso/p5870>	psychoanalysis
<http://www.yso.fi/onto/yso/p8883>	painting (visual arts)
<http://www.yso.fi/onto/yso/p5196>	aesthetics
<http://www.yso.fi/onto/yso/p8311>	creativity
