<http://www.yso.fi/onto/yso/p23894>	managers and executives
<http://www.yso.fi/onto/yso/p4191>	supervisors
<http://www.yso.fi/onto/yso/p20671>	career
<http://www.yso.fi/onto/yso/p2797>	couple relationship
<http://www.yso.fi/onto/yso/p24273>	spouses
<http://www.yso.fi/onto/yso/p2794>	family (phenomena)
<http://www.yso.fi/onto/yso/p1810>	work
<http://www.yso.fi/onto/yso/p14418>	roles (expected behaviour)
<http://www.yso.fi/onto/yso/p5291>	gender
<http://www.yso.fi/onto/yso/p928>	gender roles
<http://www.yso.fi/onto/yso/p21870>	sociocultural factors
<http://www.yso.fi/onto/yso/p94426>	Finland
