<http://www.yso.fi/onto/yso/p23102>	physical activeness
<http://www.yso.fi/onto/yso/p7384>	physical fitness
<http://www.yso.fi/onto/yso/p24946>	aerobic capacity
<http://www.yso.fi/onto/yso/p7382>	muscle fitness
<http://www.yso.fi/onto/yso/p23362>	muscle strength
<http://www.yso.fi/onto/yso/p795>	effects (results)
<http://www.yso.fi/onto/yso/p9886>	cardiovascular diseases
<http://www.yso.fi/onto/yso/p13277>	risk factors
<http://www.yso.fi/onto/yso/p8173>	men
<http://www.yso.fi/onto/yso/p15979>	young adults
<http://www.yso.fi/onto/yso/p26989>	body composition
<http://www.yso.fi/onto/yso/p826>	overweight
