<http://www.yso.fi/onto/yso/p3053>	plankton
<http://www.yso.fi/onto/yso/p26977>	microalgae
<http://www.yso.fi/onto/yso/p7853>	diatoms
<http://www.yso.fi/onto/yso/p9374>	lakes
<http://www.yso.fi/onto/yso/p682>	ice
<http://www.yso.fi/onto/yso/p9352>	ice cover
<http://www.yso.fi/onto/yso/p15738>	water quality
<http://www.yso.fi/onto/yso/p12368>	restoration of water systems
<http://www.yso.fi/onto/yso/p14328>	environmental rehabilitation
<http://www.yso.fi/onto/yso/p9680>	aeration
<http://www.yso.fi/onto/yso/p3792>	water
<http://www.yso.fi/onto/yso/p950>	heat convection
<http://www.yso.fi/onto/yso/p948>	convection
<http://www.yso.fi/onto/yso/p11518>	oxygen
<http://www.yso.fi/onto/yso/p11510>	oxygen depletion
<http://www.yso.fi/onto/yso/p3938>	nutrients (plants)
<http://www.yso.fi/onto/yso/p22936>	nutrient cycle
