<http://www.yso.fi/onto/yso/p6062>	games
<http://www.yso.fi/onto/yso/p21024>	game industry
<http://www.yso.fi/onto/yso/p1182>	entrepreneurship
<http://www.yso.fi/onto/yso/p1178>	entrepreneurs
<http://www.yso.fi/onto/yso/p10699>	amateurs (enthusiasts)
<http://www.yso.fi/onto/yso/p14484>	players (non-music)
<http://www.yso.fi/onto/yso/p25929>	game sector
<http://www.yso.fi/onto/yso/p27380>	game design
<http://www.yso.fi/onto/yso/p1722>	uncertainty
<http://www.yso.fi/onto/yso/p19923>	execution (implementation)
<http://www.yso.fi/onto/yso/p23615>	realisation (active)
<http://www.yso.fi/onto/yso/p11099>	risks
<http://www.yso.fi/onto/yso/p28185>	applications (ways of using)
<http://www.yso.fi/onto/yso/p8456>	applications (computer programmes)
<http://www.yso.fi/onto/yso/p23472>	online communities
<http://www.yso.fi/onto/yso/p3294>	customers
