<http://www.yso.fi/onto/yso/p13671>	cultural policy
<http://www.yso.fi/onto/yso/p2123>	development (passive)
<http://www.yso.fi/onto/yso/p17516>	historical sociology
<http://www.yso.fi/onto/yso/p7904>	modernisation
<http://www.yso.fi/onto/yso/p11473>	institutionalisation (societal change)
<http://www.yso.fi/onto/yso/p2538>	state (public sector entities)
<http://www.yso.fi/onto/yso/p16885>	civic society
<http://www.yso.fi/onto/yso/p8725>	cultural centres
<http://www.yso.fi/onto/yso/p4173>	multipurpose buildings
<http://www.yso.fi/onto/yso/p1780>	history
<http://www.yso.fi/onto/yso/p104987>	Estonia
<http://www.yso.fi/onto/yso/p94304>	Soviet Union
