<http://www.yso.fi/onto/yso/p11137>	minority languages
<http://www.yso.fi/onto/yso/p2630>	teaching and instruction
<http://www.yso.fi/onto/yso/p4781>	study
<http://www.yso.fi/onto/yso/p10753>	adult study
<http://www.yso.fi/onto/yso/p5619>	attitudes
<http://www.yso.fi/onto/yso/p4630>	Hungarian language
<http://www.yso.fi/onto/yso/p12469>	Swedish language
<http://www.yso.fi/onto/yso/p1353>	sociolinguistics
<http://www.yso.fi/onto/yso/p14028>	ethnography
<http://www.yso.fi/onto/yso/p7829>	discourse analysis
<http://www.yso.fi/onto/yso/p94426>	Finland
<http://www.yso.fi/onto/yso/p105030>	Romania
