<http://www.yso.fi/onto/yso/p10540>	zoobenthos
<http://www.yso.fi/onto/yso/p10541>	aquatic fauna
<http://www.yso.fi/onto/yso/p11000>	aquatic ecosystems
<http://www.yso.fi/onto/yso/p4342>	state of the environment
<http://www.yso.fi/onto/yso/p12185>	bioindicators
<http://www.yso.fi/onto/yso/p4340>	environmental pollution
<http://www.yso.fi/onto/yso/p7659>	water pollution
<http://www.yso.fi/onto/yso/p7757>	chemicals
<http://www.yso.fi/onto/yso/p1636>	heavy metals
<http://www.yso.fi/onto/yso/p7067>	harmful substances
<http://www.yso.fi/onto/yso/p17886>	effects on waterways
<http://www.yso.fi/onto/yso/p7413>	evaluation
<http://www.yso.fi/onto/yso/p6079>	risk assessment
<http://www.yso.fi/onto/yso/p9862>	environmental effects
<http://www.yso.fi/onto/yso/p9861>	environmental nuisances
<http://www.yso.fi/onto/yso/p28446>	environmental impact assessment
<http://www.yso.fi/onto/yso/p6004>	malformations
<http://www.yso.fi/onto/yso/p20083>	measuring methods
<http://www.yso.fi/onto/yso/p26364>	spectral imaging
<http://www.yso.fi/onto/yso/p10160>	cadmium
<http://www.yso.fi/onto/yso/p18481>	animal behaviour
