<http://www.yso.fi/onto/yso/p11874>	hydrocortisone
<http://www.yso.fi/onto/yso/p16233>	strength training
<http://www.yso.fi/onto/yso/p7676>	endurance training
<http://www.yso.fi/onto/yso/p624>	order
<http://www.yso.fi/onto/yso/p24755>	training response
<http://www.yso.fi/onto/yso/p26989>	body composition
<http://www.yso.fi/onto/yso/p4568>	circulatory system
<http://www.yso.fi/onto/yso/p7701>	hormonal effects
<http://www.yso.fi/onto/yso/p23240>	testosterone
<http://www.yso.fi/onto/yso/p15759>	growth hormones
<http://www.yso.fi/onto/yso/p3734>	coaching
<http://www.yso.fi/onto/yso/p8173>	men
<http://www.yso.fi/onto/yso/p3186>	respiratory organs
<http://www.yso.fi/onto/yso/p3186>	respiratory organs
