<http://www.yso.fi/onto/yso/p997>	domestic industry
<http://www.yso.fi/onto/yso/p1780>	history
<http://www.yso.fi/onto/yso/p13671>	cultural policy
<http://www.yso.fi/onto/yso/p18452>	cultural history
<http://www.yso.fi/onto/yso/p18805>	intellectual history
<http://www.yso.fi/onto/yso/p4544>	microhistory
<http://www.yso.fi/onto/yso/p9794>	traumas (mental objects)
<http://www.yso.fi/onto/yso/p485>	handcrafting
<http://www.yso.fi/onto/yso/p8475>	cultural heritage
<http://www.yso.fi/onto/yso/p4604>	years of crop failure
<http://www.yso.fi/onto/yso/p5854>	rebuilding (construction)
<http://www.yso.fi/onto/yso/p94426>	Finland
