<http://www.yso.fi/onto/yso/p10513>	educational department
<http://www.yso.fi/onto/yso/p10512>	educational department
<http://www.yso.fi/onto/yso/p3166>	ethics
<http://www.yso.fi/onto/yso/p1044>	values (cultural objects)
<http://www.yso.fi/onto/yso/p4823>	virtues
<http://www.yso.fi/onto/yso/p22036>	well-being
<http://www.yso.fi/onto/yso/p1947>	prosperity
<http://www.yso.fi/onto/yso/p11782>	qualitative research
<http://www.yso.fi/onto/yso/p10982>	case study
<http://www.yso.fi/onto/yso/p2977>	phenomenology
<http://www.yso.fi/onto/yso/p94426>	Finland
