<http://www.yso.fi/onto/yso/p8692>	digitalisation
<http://www.yso.fi/onto/yso/p2954>	societal change
<http://www.yso.fi/onto/yso/p1397>	consumers
<http://www.yso.fi/onto/yso/p8576>	consumer behaviour
<http://www.yso.fi/onto/yso/p14669>	music industry
<http://www.yso.fi/onto/yso/p27090>	music market
<http://www.yso.fi/onto/yso/p9466>	online shops
<http://www.yso.fi/onto/yso/p9457>	electronic commerce
<http://www.yso.fi/onto/yso/p6624>	online services
<http://www.yso.fi/onto/yso/p11912>	piracy (use)
<http://www.yso.fi/onto/yso/p2209>	generations
<http://www.yso.fi/onto/yso/p11617>	young people
<http://www.yso.fi/onto/yso/p27098>	digital natives
<http://www.yso.fi/onto/yso/p5619>	attitudes
<http://www.yso.fi/onto/yso/p3166>	ethics
<http://www.yso.fi/onto/yso/p23071>	triangulation (social sciences)
