<http://www.yso.fi/onto/yso/p5497>	natural diversity
<http://www.yso.fi/onto/yso/p5496>	biodiversity
<http://www.yso.fi/onto/yso/p1106>	protection of flora
<http://www.yso.fi/onto/yso/p558>	biotope
<http://www.yso.fi/onto/yso/p2328>	traditional biotope
<http://www.yso.fi/onto/yso/p20993>	woodland pastures
<http://www.yso.fi/onto/yso/p16692>	boreal zone
<http://www.yso.fi/onto/yso/p11434>	pasture rearing
<http://www.yso.fi/onto/yso/p1525>	herbivores
<http://www.yso.fi/onto/yso/p1755>	plants
<http://www.yso.fi/onto/yso/p12566>	bryophytes
<http://www.yso.fi/onto/yso/p15807>	vascular plants
<http://www.yso.fi/onto/yso/p13847>	tree stand
<http://www.yso.fi/onto/yso/p22536>	recurrence
