<http://www.yso.fi/onto/yso/p6409>	football
<http://www.yso.fi/onto/yso/p3734>	coaching
<http://www.yso.fi/onto/yso/p26412>	training
<http://www.yso.fi/onto/yso/p2123>	development (passive)
<http://www.yso.fi/onto/yso/p11617>	young people
<http://www.yso.fi/onto/yso/p14484>	players (non-music)
<http://www.yso.fi/onto/yso/p25205>	sport-specific skills
<http://www.yso.fi/onto/yso/p14041>	performance (physical capacity)
<http://www.yso.fi/onto/yso/p4734>	motivation (mental objects)
<http://www.yso.fi/onto/yso/p9363>	qualification
<http://www.yso.fi/onto/yso/p6253>	self-evaluation
<http://www.yso.fi/onto/yso/p20083>	measuring methods
<http://www.yso.fi/onto/yso/p3807>	sport psychology
