<http://www.yso.fi/onto/yso/p11430>	information technology sector
<http://www.yso.fi/onto/yso/p1075>	employees
<http://www.yso.fi/onto/yso/p10322>	foreign labour
<http://www.yso.fi/onto/yso/p25160>	expatriates
<http://www.yso.fi/onto/yso/p2190>	cultural differences
<http://www.yso.fi/onto/yso/p11260>	work culture
<http://www.yso.fi/onto/yso/p7905>	acculturation
<http://www.yso.fi/onto/yso/p6369>	schemes (information)
<http://www.yso.fi/onto/yso/p2486>	behavioural patterns
<http://www.yso.fi/onto/yso/p554>	leadership (activity)
<http://www.yso.fi/onto/yso/p105023>	Japan
