<http://www.yso.fi/onto/yso/p2313>	safety technology
<http://www.yso.fi/onto/yso/p5655>	large-scale disasters
<http://www.yso.fi/onto/yso/p504>	crisis management
<http://www.yso.fi/onto/yso/p18528>	crisis communication
<http://www.yso.fi/onto/yso/p23821>	smartphones
<http://www.yso.fi/onto/yso/p12116>	alarm systems
<http://www.yso.fi/onto/yso/p5706>	alarms
<http://www.yso.fi/onto/yso/p26364>	spectral imaging
<http://www.yso.fi/onto/yso/p24149>	unmanned aerial vehicles
<http://www.yso.fi/onto/yso/p2361>	hazardous substances
<http://www.yso.fi/onto/yso/p539>	explosives
<http://www.yso.fi/onto/yso/p6502>	toxic substances
<http://www.yso.fi/onto/yso/p15463>	chemical weapons
<http://www.yso.fi/onto/yso/p28613>	forensic criminal investigation
