<http://www.yso.fi/onto/yso/p1235>	films (works)
<http://www.yso.fi/onto/yso/p1882>	rock music
<http://www.yso.fi/onto/yso/p17758>	tours
<http://www.yso.fi/onto/yso/p1917>	cruises
<http://www.yso.fi/onto/yso/p6>	popular culture
<http://www.yso.fi/onto/yso/p7493>	cultural research
<http://www.yso.fi/onto/yso/p4880>	Finnish identity
<http://www.yso.fi/onto/yso/p13105>	documentary films
<http://www.yso.fi/onto/yso/p14501>	music films
<http://www.yso.fi/onto/yso/p4806>	youth culture
<http://www.yso.fi/onto/yso/p8552>	subcultures
<http://www.yso.fi/onto/yso/p3351>	national identity
<http://www.yso.fi/onto/yso/p11843>	expression (communication)
<http://www.yso.fi/onto/yso/p3064>	popular music
<http://www.yso.fi/onto/yso/p5072>	ensembles (groups)
<http://www.yso.fi/onto/yso/p1644>	musicians
<http://www.yso.fi/onto/yso/p1780>	history
<http://www.yso.fi/onto/yso/p21685>	music research
<http://www.yso.fi/onto/yso/p13455>	countercultures
<http://www.yso.fi/onto/yso/p3689>	folk culture
<http://www.yso.fi/onto/yso/p8895>	national landscape
<http://www.yso.fi/onto/yso/p11282>	nature values
<http://www.yso.fi/onto/yso/p8391>	drinking culture
<http://www.yso.fi/onto/yso/p20828>	sexuality (gender orientation)
<http://www.yso.fi/onto/yso/p14169>	men's culture
<http://www.yso.fi/onto/yso/p4511>	interpretation (cognition)
<http://www.yso.fi/onto/yso/p562>	performing (artistic creation)
<http://www.yso.fi/onto/yso/p94391>	Saimaa
<http://www.yso.fi/onto/yso/p94426>	Finland
