<http://www.yso.fi/onto/yso/p20743>	information and communications technology
<http://www.yso.fi/onto/yso/p23472>	online communities
<http://www.yso.fi/onto/yso/p20774>	social media
<http://www.yso.fi/onto/yso/p22643>	mobile services
<http://www.yso.fi/onto/yso/p4834>	mobile devices
<http://www.yso.fi/onto/yso/p4362>	cell phones
<http://www.yso.fi/onto/yso/p28185>	applications (ways of using)
<http://www.yso.fi/onto/yso/p8456>	applications (computer programmes)
<http://www.yso.fi/onto/yso/p19406>	concept analysis
<http://www.yso.fi/onto/yso/p1377>	planning and design
<http://www.yso.fi/onto/yso/p16969>	cognitive science
