<http://www.yso.fi/onto/yso/p6837>	gestures
<http://www.yso.fi/onto/yso/p9174>	speech act
<http://www.yso.fi/onto/yso/p4393>	intentionality
<http://www.yso.fi/onto/yso/p1295>	user interfaces
<http://www.yso.fi/onto/yso/p10591>	interaction
<http://www.yso.fi/onto/yso/p38058>	voice
<http://www.yso.fi/onto/yso/p1377>	planning and design
<http://www.yso.fi/onto/yso/p1855>	nonverbal communication
<http://www.yso.fi/onto/yso/p23334>	kinaesthesia
<http://www.yso.fi/onto/yso/p16849>	intonation (speech)
<http://www.yso.fi/onto/yso/p5462>	information technology
<http://www.yso.fi/onto/yso/p13809>	audio design
