<http://www.yso.fi/onto/yso/p7233>	skeletal system
<http://www.yso.fi/onto/yso/p2123>	development (passive)
<http://www.yso.fi/onto/yso/p2784>	muscles
<http://www.yso.fi/onto/yso/p24382>	adipose tissues
<http://www.yso.fi/onto/yso/p2589>	hormones
<http://www.yso.fi/onto/yso/p19425>	estradiol
<http://www.yso.fi/onto/yso/p23240>	testosterone
<http://www.yso.fi/onto/yso/p7196>	girls
<http://www.yso.fi/onto/yso/p16991>	women
<http://www.yso.fi/onto/yso/p15514>	puberty
<http://www.yso.fi/onto/yso/p17397>	menopause
<http://www.yso.fi/onto/yso/p5056>	ageing
