<http://www.yso.fi/onto/yso/p14664>	neuropsychology
<http://www.yso.fi/onto/yso/p19788>	juvenile diabetes
<http://www.yso.fi/onto/yso/p13735>	childhood
<http://www.yso.fi/onto/yso/p5283>	cognitive processes
<http://www.yso.fi/onto/yso/p11792>	learning ability
<http://www.yso.fi/onto/yso/p5302>	learning difficulties
<http://www.yso.fi/onto/yso/p10162>	language development
<http://www.yso.fi/onto/yso/p2234>	language disorders
<http://www.yso.fi/onto/yso/p15532>	cognitive development
<http://www.yso.fi/onto/yso/p11405>	literacy
<http://www.yso.fi/onto/yso/p11408>	ability to write
<http://www.yso.fi/onto/yso/p23002>	mathematical skills
<http://www.yso.fi/onto/yso/p2125>	child development
