<http://www.yso.fi/onto/yso/p25017>	coaching (education)
<http://www.yso.fi/onto/yso/p1912>	direction (arts and media)
<http://www.yso.fi/onto/yso/p178>	direction (instruction and guidance)
<http://www.yso.fi/onto/yso/p1911>	control (steering)
<http://www.yso.fi/onto/yso/p10591>	interaction
<http://www.yso.fi/onto/yso/p300>	adult education
<http://www.yso.fi/onto/yso/p3734>	coaching
<http://www.yso.fi/onto/yso/p1267>	distance studies
<http://www.yso.fi/onto/yso/p5575>	new media
<http://www.yso.fi/onto/yso/p13627>	online learning
<http://www.yso.fi/onto/yso/p9885>	online study
<http://www.yso.fi/onto/yso/p6621>	online teaching
<http://www.yso.fi/onto/yso/p20774>	social media
