<http://www.yso.fi/onto/yso/p8246>	small and medium-sized enterprises
<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p7903>	innovations
<http://www.yso.fi/onto/yso/p21039>	innovation (activity)
<http://www.yso.fi/onto/yso/p2439>	business
<http://www.yso.fi/onto/yso/p5541>	possibility
<http://www.yso.fi/onto/yso/p6334>	cooperation (general)
<http://www.yso.fi/onto/yso/p9189>	competitive strength
<http://www.yso.fi/onto/yso/p11249>	applied research
<http://www.yso.fi/onto/yso/p2615>	robotics
<http://www.yso.fi/onto/yso/p4787>	simulation
<http://www.yso.fi/onto/yso/p24338>	sensor networks
<http://www.yso.fi/onto/yso/p14458>	remote identification
