<http://www.yso.fi/onto/yso/p10198>	polyphony
<http://www.yso.fi/onto/yso/p10200>	homophony
<http://www.yso.fi/onto/yso/p26459>	tone color
<http://www.yso.fi/onto/yso/p2909>	acoustics (phonics)
<http://www.yso.fi/onto/yso/p12534>	acoustics (physical properties)
<http://www.yso.fi/onto/yso/p16706>	correlation
<http://www.yso.fi/onto/yso/p3485>	emotions
<http://www.yso.fi/onto/yso/p5293>	perception (activity)
<http://www.yso.fi/onto/yso/p7040>	brain
<http://www.yso.fi/onto/yso/p7039>	cerebral cortex
<http://www.yso.fi/onto/yso/p23705>	brain research
<http://www.yso.fi/onto/yso/p5283>	cognitive processes
<http://www.yso.fi/onto/yso/p24211>	functional magnetic resonance imaging
<http://www.yso.fi/onto/yso/p13805>	music psychology
