<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p2436>	failure
<http://www.yso.fi/onto/yso/p9466>	online shops
<http://www.yso.fi/onto/yso/p9457>	electronic commerce
<http://www.yso.fi/onto/yso/p21761>	business models
<http://www.yso.fi/onto/yso/p3867>	globalisation
<http://www.yso.fi/onto/yso/p4029>	commerce
<http://www.yso.fi/onto/yso/p4503>	agriculture
<http://www.yso.fi/onto/yso/p13642>	commodities
<http://www.yso.fi/onto/yso/p28184>	timing
<http://www.yso.fi/onto/yso/p10290>	dating (estimation)
<http://www.yso.fi/onto/yso/p4458>	customer relationship
<http://www.yso.fi/onto/yso/p10164>	narrativity
<http://www.yso.fi/onto/yso/p7829>	discourse analysis
