<http://www.yso.fi/onto/yso/p1056>	philosophy
<http://www.yso.fi/onto/yso/p4006>	bodiliness
<http://www.yso.fi/onto/yso/p1066>	literary research
<http://www.yso.fi/onto/yso/p14601>	philology
<http://www.yso.fi/onto/yso/p2460>	cultural anthropology
<http://www.yso.fi/onto/yso/p7493>	cultural research
<http://www.yso.fi/onto/yso/p15994>	theory of knowledge
<http://www.yso.fi/onto/yso/p4511>	interpretation (cognition)
<http://www.yso.fi/onto/yso/p10906>	narratology
<http://www.yso.fi/onto/yso/p11915>	interdisciplinary research
<http://www.yso.fi/onto/yso/p11916>	multidisciplinary research
