<http://www.yso.fi/onto/yso/p5462>	information technology
<http://www.yso.fi/onto/yso/p26592>	computer programmes
<http://www.yso.fi/onto/yso/p1295>	user interfaces
<http://www.yso.fi/onto/yso/p21530>	software development
<http://www.yso.fi/onto/yso/p17097>	software engineering
<http://www.yso.fi/onto/yso/p7903>	innovations
<http://www.yso.fi/onto/yso/p1377>	planning and design
<http://www.yso.fi/onto/yso/p16550>	users
<http://www.yso.fi/onto/yso/p17108>	end users
<http://www.yso.fi/onto/yso/p10591>	interaction
<http://www.yso.fi/onto/yso/p4176>	needs
<http://www.yso.fi/onto/yso/p1001>	intention
<http://www.yso.fi/onto/yso/p25337>	user experience
<http://www.yso.fi/onto/yso/p3785>	usability
<http://www.yso.fi/onto/yso/p16588>	user psychology
