<http://www.yso.fi/onto/yso/p3219>	political systems
<http://www.yso.fi/onto/yso/p812>	parliamentarism
<http://www.yso.fi/onto/yso/p811>	parliaments
<http://www.yso.fi/onto/yso/p563>	rhetoric
<http://www.yso.fi/onto/yso/p8613>	disputation
<http://www.yso.fi/onto/yso/p1594>	constitutions
<http://www.yso.fi/onto/yso/p13043>	legislative power
<http://www.yso.fi/onto/yso/p734>	unusual conditions
<http://www.yso.fi/onto/yso/p6562>	state of war
<http://www.yso.fi/onto/yso/p3114>	terror attacks
<http://www.yso.fi/onto/yso/p5623>	powers and mandates
<http://www.yso.fi/onto/yso/p13040>	executive power
<http://www.yso.fi/onto/yso/p17598>	presidents
<http://www.yso.fi/onto/yso/p6581>	jurisdiction
<http://www.yso.fi/onto/yso/p105078>	United States of America
