<http://www.yso.fi/onto/yso/p20774>	social media
<http://www.yso.fi/onto/yso/p23472>	online communities
<http://www.yso.fi/onto/yso/p408>	social networks
<http://www.yso.fi/onto/yso/p17497>	tracking
<http://www.yso.fi/onto/yso/p3628>	monitoring
<http://www.yso.fi/onto/yso/p6851>	analysis
<http://www.yso.fi/onto/yso/p26592>	computer programmes
<http://www.yso.fi/onto/yso/p27066>	software design
<http://www.yso.fi/onto/yso/p3056>	databases
<http://www.yso.fi/onto/yso/p3926>	information retrieval systems
<http://www.yso.fi/onto/yso/p6999>	search engines
<http://www.yso.fi/onto/yso/p26018>	graphs
