<http://www.yso.fi/onto/yso/p2008>	wages
<http://www.yso.fi/onto/yso/p3474>	wage differentials
<http://www.yso.fi/onto/yso/p15555>	wage formation
<http://www.yso.fi/onto/yso/p7104>	public sector
<http://www.yso.fi/onto/yso/p11520>	private sector
<http://www.yso.fi/onto/yso/p6961>	government employees
<http://www.yso.fi/onto/yso/p6844>	municipal employees
<http://www.yso.fi/onto/yso/p8173>	men
<http://www.yso.fi/onto/yso/p16991>	women
<http://www.yso.fi/onto/yso/p16306>	becoming selected
<http://www.yso.fi/onto/yso/p12156>	educational background
<http://www.yso.fi/onto/yso/p8831>	labour market
