<http://www.yso.fi/onto/yso/p1808>	music
<http://www.yso.fi/onto/yso/p706>	motion (physical phenomena)
<http://www.yso.fi/onto/yso/p649>	moving
<http://www.yso.fi/onto/yso/p3485>	emotions
<http://www.yso.fi/onto/yso/p7075>	personality
<http://www.yso.fi/onto/yso/p1278>	dance (performing arts)
<http://www.yso.fi/onto/yso/p1812>	dancers
<http://www.yso.fi/onto/yso/p16028>	kinematics
<http://www.yso.fi/onto/yso/p4095>	dynamics
<http://www.yso.fi/onto/yso/p9106>	listening
<http://www.yso.fi/onto/yso/p5293>	perception (activity)
