<http://www.yso.fi/onto/yso/p27250>	data
<http://www.yso.fi/onto/yso/p27202>	big data
<http://www.yso.fi/onto/yso/p6085>	methods of analysis
<http://www.yso.fi/onto/yso/p14524>	algorithms
<http://www.yso.fi/onto/yso/p5520>	data mining
<http://www.yso.fi/onto/yso/p21846>	machine learning
<http://www.yso.fi/onto/yso/p26189>	cyber security
<http://www.yso.fi/onto/yso/p998>	industry
<http://www.yso.fi/onto/yso/p13003>	systems of supervision
<http://www.yso.fi/onto/yso/p24211>	functional magnetic resonance imaging
<http://www.yso.fi/onto/yso/p24772>	scientometrics
