<http://www.yso.fi/onto/yso/p20094>	family businesses
<http://www.yso.fi/onto/yso/p3128>	enterprises
<http://www.yso.fi/onto/yso/p1178>	entrepreneurs
<http://www.yso.fi/onto/yso/p1182>	entrepreneurship
<http://www.yso.fi/onto/yso/p14845>	change of generation
<http://www.yso.fi/onto/yso/p974>	shareholders
<http://www.yso.fi/onto/yso/p411>	social relations
<http://www.yso.fi/onto/yso/p14983>	career development
<http://www.yso.fi/onto/yso/p15899>	career planning
<http://www.yso.fi/onto/yso/p17597>	organisational behaviour
<http://www.yso.fi/onto/yso/p105195>	Ireland
