<http://www.yso.fi/onto/yso/p811>	parliaments
<http://www.yso.fi/onto/yso/p8612>	public discussion
<http://www.yso.fi/onto/yso/p14004>	conversation
<http://www.yso.fi/onto/yso/p14418>	roles (expected behaviour)
<http://www.yso.fi/onto/yso/p12405>	foreign policy
<http://www.yso.fi/onto/yso/p9565>	defence policy
<http://www.yso.fi/onto/yso/p4130>	warfare
<http://www.yso.fi/onto/yso/p8958>	political parties
<http://www.yso.fi/onto/yso/p3001>	rulers (role)
<http://www.yso.fi/onto/yso/p7372>	prerogatives
<http://www.yso.fi/onto/yso/p15286>	political history
<http://www.yso.fi/onto/yso/p11205>	Falkland Islands War
<http://www.yso.fi/onto/yso/p14513>	Iraq War
<http://www.yso.fi/onto/yso/p19112>	Persian Gulf War
<http://www.yso.fi/onto/yso/p104990>	United Kingdom
