<http://www.yso.fi/onto/yso/p1066>	literary research
<http://www.yso.fi/onto/yso/p13313>	melancholy
<http://www.yso.fi/onto/yso/p17028>	ethnicity
<http://www.yso.fi/onto/yso/p23085>	ethicality
<http://www.yso.fi/onto/yso/p5196>	aesthetics
<http://www.yso.fi/onto/yso/p7298>	political character
<http://www.yso.fi/onto/yso/p7250>	form and shape
<http://www.yso.fi/onto/yso/p2880>	language
<http://www.yso.fi/onto/yso/p4678>	language of literature
<http://www.yso.fi/onto/yso/p4952>	stylistic research
<http://www.yso.fi/onto/yso/p12741>	written expression
<http://www.yso.fi/onto/yso/p17134>	genres
<http://www.yso.fi/onto/yso/p17134>	genres
<http://www.yso.fi/onto/yso/p5867>	psychoanalytic theories
<http://www.yso.fi/onto/yso/p1065>	close reading
<http://www.yso.fi/onto/yso/p7829>	discourse analysis
